ID,Group,Summary,Comments
1.1,IAM,Maintain current contact details (Manual),
1.2,IAM,Ensure security contact information is registered (Manual),
1.3,IAM,Ensure security questions are registered in the AWS account (Manual),
1.4,IAM,Ensure no root account access key exists,Cloud Root Account API Access Key Present
1.5,IAM,"Ensure MFA is enabled for the ""root"" account",Cloud Account Without Root Account MFA Protection
1.6,IAM,"Ensure hardware MFA is enabled for the ""root"" account",Cloud Account Without Root Account MFA Protection
1.7,IAM,Eliminate use of the root user for administrative daily tasks,Cloud Account With Active Root Account
1.8,IAM,Ensure IAM password policy requires minimum length of 14 or greater,Cloud Account Password Policy Length Too Short
1.9,IAM,Ensure IAM password policy prevents password reuse,Password Policy Does Not Prevent Password Reuse
1.1,IAM,Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password,Cloud User Account Without MFA
1.11,IAM,Do not setup access keys during initial user setup for all IAM users that have a console password,
1.12,IAM,Ensure credentials unused for 90 days or greater are disabled,Cloud User Inactive
1.13,IAM,Ensure there is only one active access key available for any single IAM user,Cloud Users With Multiple Active API Keys
1.14,IAM,Ensure access keys are rotated every 90 days or less,API Keys Not Rotated Within 90 Days
1.15,IAM,Ensure IAM Users Receive Permissions Only Through Groups,Cloud User Has Direct Permissions
1.16,IAM,"Ensure IAM policies that allow full ""*:*"" administrative privileges are not created",Cloud Policies With Full Access
1.17,IAM,Ensure a support role has been created to manage incidents with AWS Support,
1.18,IAM,Ensure IAM instance roles are used for AWS resource access from instances,
1.19,IAM,Ensure that all expired SSL/TLS certificates stored in AWS IAM are removed,SSL Certificate Expired
1.2,IAM,Ensure that S3 Buckets are configured with 'Block Public Access',Storage Container Without Block Public Access Protection
1.21,IAM,Ensure that IAM Access Analyzer is enabled,Access Analyzer Not Enabled In Cloud Region
1.22,IAM,Ensure IAM users are managed centrally via identity federation or AWS Organizations for multi-account environments,
2.1.1,Storage,Ensure all S3 buckets employ encryption-at-rest,Storage Container Without Server Side Encryption Enabled
2.1.2,Storage,Ensure S3 bucket policy allows HTTPS requests,Storage Containers Not Enforcing Transit Encryption
2.2.1,Storage,Ensure EBS volume encryption is enabled,Compute Region Without Default EBS Encryption
3.1,Logging,Ensure CloudTrail is enabled in all regions,Cloud Account Without Global API Accounting Config
3.2,Logging,Ensure CloudTrail log file validation is enabled,API Accounting Config Log File Validation Disabled
3.3,Logging,Ensure the S3 bucket used to store CloudTrail logs is not publicly accessible ,API Accounting Config Log Exposed
3.4,Logging,Ensure CloudTrail trails are integrated with CloudWatch Logs,API Accounting Config Not Logging
3.5,Logging,Ensure AWS Config is enabled in all regions,Cloud Region Without Configuration Tracking
3.6,Logging,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,API Accounting Config Storage Container Access Logging Not Enabled
3.7,Logging,Ensure CloudTrail logs are encrypted at rest using KMS CMKs,API Accounting Config Without Encryption
3.8,Logging,Ensure rotation for customer created CMKs is enabled,Encryption Key Not Supporting Key Rotation
3.9,Logging,Ensure VPC flow logging is enabled in all VPCs,Network Without Traffic Logging
3.1,Logging,Ensure that Object-level logging for write events is enabled for S3 bucket,Storage Container Without Object Level Logging
3.11,Logging,Ensure that Object-level logging for read events is enabled for S3 bucket,Storage Container Without Object Level Logging
4.1,Monitoring,Ensure a log metric filter and alarm exist for unauthorized API calls ,Cloud Account Without Alarm For Unauthorized API Calls
4.2,Monitoring,Ensure a log metric filter and alarm exist for Management Console sign-in without MFA,Cloud Account Without Alarm For Console Sign-in Without MFA
4.3,Monitoring,"Ensure a log metric filter and alarm exist for usage of ""root"" account",Cloud Account Without Alarm For Usage Of Root Account
4.4,Monitoring,Ensure a log metric filter and alarm exist for IAM policy changes,Cloud Account Without Alarm For IAM Policy Changes
4.5,Monitoring,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Cloud Account Without Alarm For API Accounting Config Configuration Changes
4.6,Monitoring,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures ,Cloud Account Without Alarm For Console Authentication Failures
4.7,Monitoring,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,Cloud Account Without Alarm For Disabling/Scheduled Deletion Of Customer-Managed Keys
4.8,Monitoring,Ensure a log metric filter and alarm exist for S3 bucket policy changes,Cloud Account Without Alarm For Storage Container Policy Changes
4.9,Monitoring,Ensure a log metric filter and alarm exist for AWS Config configuration changes,Cloud Account Without Alarm For AWS Config Configuration Changes
4.1,Monitoring,Ensure a log metric filter and alarm exist for security group changes,Cloud Account Without Alarm For Access List (Security Group) Changes
4.11,Monitoring,Ensure a log metric filter and alarm exist for changes to Network ACLs,Cloud Account Without Alarm For Access List (NACL) Changes
4.12,Monitoring,Ensure a log metric filter and alarm exist for changes to network gateways,Cloud Account Without Alarm For Network Gateway Changes
4.13,Monitoring,Ensure a log metric filter and alarm exist for route table changes,Cloud Account Without Alarm For Route Table Changes
4.14,Monitoring,Ensure a log metric filter and alarm exist for VPC changes,Cloud Account Without Alarm For Network (VPC) Changes
4.15,Monitoring,Ensure a log metric filter and alarm exist for AWS Organizations changes,Cloud Account Without Alarm For AWS Organizations Changes
5.1,Networks,Ensure no security groups allow ingress from 0.0.0.0/0 to port 22,Access List Exposes SSH To World
5.2,Networks,Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389,Access List Exposes Windows RDP To World
5.3,Networks,Ensure the default security group of every VPC restricts all traffic,Access List Default Allows Ingress/Egress (Security Group)
5.4,Networks,"Ensure routing tables for VPC peering are ""least access""",
